id,text
1901900061619196213,"indihome seminggu ini kenapa si? nonton yt burik bngt resolusinya, udah 1080 tetep aja 360. tolong dong, udah bayar mahal juga @IndiHomeCare"
1901899867578151115,"@IndiHome Apaan, internet ga stabil+gangguan, 

Maaf min, itu jaringannya diapain sama teknisinya?"
1901899651508326499,"@zoxar @ShopeePay_ID @IndiHome @ShopeeID Hi kak zoxar, maaf ya udah buat resah terkait shopeepay yang dialami. Shopee selalu memberikan pelayanan yang terbaik untuk semua pengguna. Agar bisa aku bantu pengecekan kendalanya, kakak bisa infoin ke aku di DM ya. Terima kasih^UI"
1901898876925419695,"@IndiHomeCare @IndiHome Siva cek untuk kendala Kakak sudah dibuatkan laporan dengan nomor tiket 1-M5XLQ2P, terkait laporannya sudah dalam penanganan oleh tim terkait. Berkenan menunggu progress dan update selanjutnya, ya Kak. Diupayakan permintaan Kakak terealisasikan.Terima kasih -Siva

(10 maret 2025)"
1901898367711719581,"@IndiHomeCare @IndiHome Halo Kak Chandra. Mohon maaf atas ketidaknyamanannya. Pay cek saat ini sudah ada pelaporan dengan nomor tiket ID 1-M5XLQ2P mengenai keluhannya. Dan Pay infokan untuk kedatangan teknisi menyesuaikan ketersediaan jadwal di lapangan ya Kak.Terima kasih. -Pay

(TANGGAL 15 MARET 2025)"
1901898157660979445,@basosoryu @IndiHome Okei mohon ditunggu ya Kak @basosoryu. 😉-Caris
1901898039939449219,"@IndiHomeCare @IndiHome Kak Chandra, terkait laporannya saat ini sudah Jojo bantu follow up ke tim terkait ya guna dapat segera ditindak lanjuti. Mohon berkenan menunggu terlebih dahulu. Terima kasih. -Jojo

(TANGGAL 16 MARET 2025)"
1901897813648351547,"@ChanSpurs @IndiHome @ChanSpurs Kak Chandra maafin ya. Konfirmasi kami lagi di DM yuk, biar dibantu penanganan lebih lanjut dan kendalanya bisa segera terselesaikan Kak. Makasih :) -Sakia"
1901897743716495580,"@IndiHomeCare @IndiHome Kak Chandra, mohon maaf atas ketidaknyamanannya. Zoe cek pelaporan Kakak pada nomor tiket 1-M5XLQ2P saat ini masih dalam proses dan sudah Zoe bantu follow up ya Kak. Mohon berkenan menunggu dan diupayakan segera tersolusikan. -Zoe

(TANGGAL 16 MARET 2025)"
1901897731536523726,@IndiHomeCare @IndiHome dm cek lgi
1901897614330830853,"kata gue nih indihome makin gajelas , dari semalem no internet @IndiHomeCare"
1901897225812525136,"@IndiHomeCare @IndiHome Bohong, sudah sejak 1maret2025 auto reply, customer disuru berkenan menunggu, sedang proses, dll. Padahal mah internal nya lg error telkomsel telkom indihome, sperti ada perubahan"
1901896638639034577,"@IndiHomeCare min, ada pohon tumbang kena kabel indihome, apakah ada penanganan dari indihome?. https://t.co/trSoT0h3ou"
1901895616474874146,@IndiHome min untuk paket diatas 50 Mbps ada ga ya ?
1901893980490740009,"Tanggapan perihal ""Migrasi IndiHome Sangat Lambat Setelah Merger dengan Telkomsel"" https://t.co/x8AglHRQc9"
1901893783446602144,"Tanggapan perihal ""Migrasi Paket IndiHome Tidak Kunjung Selesai, Cuma Sebatas Janji"" https://t.co/WJH4zcszRR"
1901890082254278994,"@IndiHomeCare @IndiHome GILA DARI KEMAREN SAMPE SIANG INI BELOM IDUP JUGA, GA ADA PENJELASAN JUGA @IndiHome @IndiHomeCare"
1901889675331276902,@yoon_doljjongie Anjir malah di kasih nmr indihome wkwkwkw
1901888524179419423,"KETAWA BGT, MASA INDIHOME JUGAK MASUK SIH 😭😭😭😭😭😭 https://t.co/HBnKr4pkDO"
1901885370985480521,"@sinBside @IndiHome @sinBside Siap, Kak. Ditunggu ya, DM-nya dibalas sesuai dengan antrian. Yuk cek berkala. -Dhet"
1901884279287898322,"@zoxar @ShopeeCare @ShopeePay_ID @IndiHome @ShopeeID @SeaBankID Halo kak untuk cek kendala kamu silakan di kirim untuk melalui wa ini ;) untuk layanan CS ID  proses hanya melalui 
   https://t.co/NZXvV9kcrT
       Tks-RomeoJulian"
1901884265799069947,"@zoxar @ShopeeCare @ShopeePay_ID @IndiHome @ShopeeID @SeaBankID Hai kakak untuk respon lebih cepat terkait kendala nya silahkan lanjut di WhatsApp kami
  https://t.co/NZXvV9kcrT
 Tks°Indriyani"
1901883614314578005,"@IndiHomeCare @IndiHome Min cepet bales dm, kalo gak gue minta cabut ni wifi asli"
1901883400321163744,"@baeendtweet Thanks, sudah berbagi informasi Kak😊Hati-hati terhadap penipuan yg mengatasnamakan IndiHome ya, jangan berikan informasi apapun terlebih data pribadi🥰-Indah"
1901882909608513616,PASANG INDIHOME SAMA AKU YAAA https://t.co/SwG8AKii16
1901882686538690879,Cara berhenti berlangganan indihome gimana ya? Ribet ga sih 😩
1901882230944702709,"@urfavvshark Huft, Kakak langganan IndiHome juga kah? -Indah"
1901882214285197459,@yoon_doljjongie eh sudah kuduga yg indihome indihome td pasti si ikha ternyata bener 😭
1901881743931740566,"@IndiHomeCare bukan hanya persoalan lapor dan konfirmasi kak, kebutuhan saat ini adalah penjadwalan penanganan dan tiket antrian penanganannya, sudah 2 hari kami lapor ke kantor tapi belum ada eksekusi dari pihak indihome"
1901881255312114056,IndiHome kenapa sih kalo Siang ajak gelut
1901880627592659232,@yoon_doljjongie Berarti bapaknya si ikha teknisi indihome?😭😭
1901880347878703233,@yoon_doljjongie Yg dikasih no indihome kah bii?
1901879922286813402,"@dusktildawn__ Kak, langganan IndiHome juga kah? Terkait tagihan serta jaringan internetnya bisa DM mimin yuk, biar dibantu cek dan tindaklanjuti😊-Indah"
1901879912514109752,"@IndiHome saya beli paket Jitu1 50mbps termasuk paket Disney+, Tapi ternyata cuma berlaku 1 bulan. Ini tidak dijelaskan dari awal pembelian paket karena CS Bilang sudah termasuk disney+ dan tidak dijelaskan kalau cuma 1 bulan saja berlaku. Mohon maaf saya merasa dirugikan disini."
1901878536488558791,@grumpywinniee Kak @grumpywinniee gunain IndiHome juga kah? -Indah
1901877902750154933,Indihome kenapa dahh udah 8 jam LOS mulu 😭
1901877191740117316,"@winterpengu Kalo Kakak, masih gunain IndiHome nggak? -Indah"
1901876667594985582,"@cinamounz Widihhh, Kak El langganan IndiHome kah? -Indah"
1901875214947963052,sumpah indihome nih apa ya cok
1901874961868062906,MODUS SECEPAT JARINGAN INDIHOME https://t.co/bppwyYFFa2
1901874104741052689,"@IndiHomeCare parah ini tolong perbaiki nonton video selalu buffering, saya Dm no Indihome nya https://t.co/czTb34Za0A"
1901872348762116554,"@SahalaSmnjtk16 Kalo mimin, mimin IndiHome twitter nih🤭-Indah"
1901872182613152230,"@hannoyii @IndiHome @hannoyii Siang Kak Hanuy, maaf atas koneksinya yaa. Yuk share ke DM nomor IndiHome dan atas nama biar dicek dan benerin jaringan WiFi Kakak ya. 😉 -Caris"
1901871365780885548,nih indihome emg lemot kahh jaringannya?? gue chatan di wa aja pending anjirr
1901870447286681957,"Indihome gabisa dipasang di rumah gw, okelah kita beralih ke first media saja ~"
